variante,nome_padrao
fundação universidade regional de blumenau,Fundação Universidade Regional de Blumenau (FURB)
fundação dom cabral  (fdc),Fundação Dom Cabral (FDC)
fundação dom cabral(fdc),Fundação Dom Cabral (FDC)
serviço nacional de aprendizagem comercial (senac),Serviço Nacional de Aprendizagem Comercial (SENAC-SC)
